Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly,population,cases_new_per_capita,cases_recovered_per_capita,cases_active_per_capita
2020-01-25,Johor,4,0,4,0,0,1,0,3781000,1.057921184871727e-06,0.0,1.057921184871727e-06
2020-01-26,Johor,0,0,4,0,0,0,0,3781000,0.0,0.0,1.057921184871727e-06
2020-01-27,Johor,0,0,4,0,0,0,0,3781000,0.0,0.0,1.057921184871727e-06
2020-01-28,Johor,0,0,4,0,0,0,0,3781000,0.0,0.0,1.057921184871727e-06
2020-01-29,Johor,2,0,6,0,0,2,0,3781000,5.289605924358635e-07,0.0,1.5868817773075906e-06
2020-01-30,Johor,1,0,7,0,0,1,0,3781000,2.6448029621793174e-07,0.0,1.8513620735255222e-06
2020-01-31,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-01,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-02,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-03,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-04,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-05,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-06,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-07,Johor,1,0,8,0,0,1,0,3781000,2.6448029621793174e-07,0.0,2.115842369743454e-06
2020-02-08,Johor,0,1,7,0,0,0,0,3781000,0.0,2.6448029621793174e-07,1.8513620735255222e-06
2020-02-09,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-10,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-11,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-12,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-13,Johor,0,0,7,0,0,0,0,3781000,0.0,0.0,1.8513620735255222e-06
2020-02-14,Johor,0,4,3,0,0,0,0,3781000,0.0,1.057921184871727e-06,7.934408886537953e-07
2020-02-15,Johor,0,1,2,0,0,0,0,3781000,0.0,2.6448029621793174e-07,5.289605924358635e-07
2020-02-16,Johor,0,0,2,0,0,0,0,3781000,0.0,0.0,5.289605924358635e-07
2020-02-17,Johor,0,0,2,0,0,0,0,3781000,0.0,0.0,5.289605924358635e-07
2020-02-18,Johor,0,2,0,0,0,0,0,3781000,0.0,5.289605924358635e-07,0.0
2020-02-19,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-20,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-21,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-22,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-23,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-24,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-25,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-26,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-27,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-28,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-02-29,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-03-01,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-03-02,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-03-03,Johor,0,0,0,0,0,0,0,3781000,0.0,0.0,0.0
2020-03-04,Johor,1,0,1,0,0,1,0,3781000,2.6448029621793174e-07,0.0,2.6448029621793174e-07
2020-03-05,Johor,0,0,1,0,0,0,0,3781000,0.0,0.0,2.6448029621793174e-07
2020-03-06,Johor,1,0,2,1,0,0,0,3781000,2.6448029621793174e-07,0.0,5.289605924358635e-07
2020-03-07,Johor,2,0,4,0,0,2,0,3781000,5.289605924358635e-07,0.0,1.057921184871727e-06
2020-03-08,Johor,0,0,4,0,0,0,0,3781000,0.0,0.0,1.057921184871727e-06
2020-03-09,Johor,0,0,4,0,0,0,0,3781000,0.0,0.0,1.057921184871727e-06
2020-03-10,Johor,0,0,4,0,0,0,0,3781000,0.0,0.0,1.057921184871727e-06
2020-03-11,Johor,3,0,7,1,0,1,1,3781000,7.934408886537953e-07,0.0,1.8513620735255222e-06
2020-03-12,Johor,1,0,8,0,0,0,1,3781000,2.6448029621793174e-07,0.0,2.115842369743454e-06
