Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Kedah,0,0,0,0,0,0,0
2020-01-26,Kedah,0,0,0,0,0,0,0
2020-01-27,Kedah,0,0,0,0,0,0,0
2020-01-28,Kedah,0,0,0,0,0,0,0
2020-01-29,Kedah,1,0,1,1,0,0,0
2020-01-30,Kedah,0,0,1,0,0,0,0
2020-01-31,Kedah,0,0,1,0,0,0,0
2020-02-01,Kedah,0,0,1,0,0,0,0
2020-02-02,Kedah,0,0,1,0,0,0,0
2020-02-03,Kedah,0,0,1,0,0,0,0
2020-02-04,Kedah,0,0,1,0,0,0,0
2020-02-05,Kedah,0,1,0,0,0,0,0
2020-02-06,Kedah,1,0,1,0,0,1,0
2020-02-07,Kedah,0,0,1,0,0,0,0
2020-02-08,Kedah,0,0,1,0,0,0,0
2020-02-09,Kedah,0,0,1,0,0,0,0
2020-02-10,Kedah,0,0,1,0,0,0,0
2020-02-11,Kedah,0,0,1,0,0,0,0
2020-02-12,Kedah,0,0,1,0,0,0,0
2020-02-13,Kedah,0,0,1,0,0,0,0
2020-02-14,Kedah,0,0,1,0,0,0,0
2020-02-15,Kedah,1,0,2,0,0,1,0
2020-02-16,Kedah,0,0,2,0,0,0,0
2020-02-17,Kedah,0,0,2,0,0,0,0
2020-02-18,Kedah,0,0,2,0,0,0,0
2020-02-19,Kedah,0,1,1,0,0,0,0
2020-02-20,Kedah,0,0,1,0,0,0,0
2020-02-21,Kedah,0,0,1,0,0,0,0
2020-02-22,Kedah,0,1,0,0,0,0,0
2020-02-23,Kedah,0,0,0,0,0,0,0
2020-02-24,Kedah,0,0,0,0,0,0,0
2020-02-25,Kedah,0,0,0,0,0,0,0
2020-02-26,Kedah,0,0,0,0,0,0,0
2020-02-27,Kedah,0,0,0,0,0,0,0
2020-02-28,Kedah,0,0,0,0,0,0,0
2020-02-29,Kedah,0,0,0,0,0,0,0
2020-03-01,Kedah,0,0,0,0,0,0,0
2020-03-02,Kedah,0,0,0,0,0,0,0
2020-03-03,Kedah,0,0,0,0,0,0,0
2020-03-04,Kedah,0,0,0,0,0,0,0
2020-03-05,Kedah,0,0,0,0,0,0,0
2020-03-06,Kedah,0,0,0,0,0,0,0
2020-03-07,Kedah,0,0,0,0,0,0,0
2020-03-08,Kedah,0,0,0,0,0,0,0
2020-03-09,Kedah,0,0,0,0,0,0,0
2020-03-10,Kedah,0,0,0,0,0,0,0
2020-03-11,Kedah,0,0,0,0,0,0,0
2020-03-12,Kedah,0,0,0,0,0,0,0
2020-03-13,Kedah,2,0,2,0,0,0,2
2020-03-14,Kedah,0,0,2,0,0,0,0
2020-03-15,Kedah,16,0,18,0,0,8,8
2020-03-16,Kedah,6,0,24,0,0,5,1
2020-03-17,Kedah,2,0,26,0,0,2,0
2020-03-18,Kedah,6,0,32,0,2,2,2
2020-03-19,Kedah,4,0,36,0,1,3,0
2020-03-20,Kedah,1,0,37,0,0,1,0
2020-03-21,Kedah,6,0,43,0,0,3,3
2020-03-22,Kedah,5,2,46,0,0,4,1
2020-03-23,Kedah,7,0,53,0,0,5,2
2020-03-24,Kedah,5,0,58,0,0,3,2
2020-03-25,Kedah,6,0,64,0,1,4,1
2020-03-26,Kedah,3,0,66,1,1,1,0
2020-03-27,Kedah,1,1,66,0,0,1,0
2020-03-28,Kedah,1,6,61,0,0,1,0
2020-03-29,Kedah,1,4,58,0,0,1,0
2020-03-30,Kedah,2,0,60,0,0,2,0
2020-03-31,Kedah,0,6,54,0,0,0,0
2020-04-01,Kedah,2,0,56,0,0,2,0
2020-04-02,Kedah,1,3,54,0,0,1,0
2020-04-03,Kedah,1,0,55,0,0,1,0
2020-04-04,Kedah,0,10,45,0,0,0,0
2020-04-05,Kedah,1,0,46,0,0,1,0
2020-04-06,Kedah,3,7,42,0,0,2,1
2020-04-07,Kedah,5,0,47,0,1,4,0
2020-04-08,Kedah,1,14,34,0,0,1,0
2020-04-09,Kedah,2,0,36,2,0,0,0
2020-04-10,Kedah,0,0,36,0,0,0,0
2020-04-11,Kedah,0,0,36,0,0,0,0
2020-04-12,Kedah,0,6,30,0,0,0,0
2020-04-13,Kedah,0,0,30,0,0,0,0
2020-04-14,Kedah,0,2,28,0,0,0,0
2020-04-15,Kedah,1,0,29,0,0,1,0
2020-04-16,Kedah,0,6,23,0,0,0,0
2020-04-17,Kedah,0,1,22,0,0,0,0
2020-04-18,Kedah,0,0,22,0,0,0,0
2020-04-19,Kedah,0,5,17,0,0,0,0
2020-04-20,Kedah,0,2,15,0,0,0,0
2020-04-21,Kedah,0,0,15,0,0,0,0
2020-04-22,Kedah,1,1,15,0,0,1,0
2020-04-23,Kedah,0,0,15,0,0,0,0
2020-04-24,Kedah,0,4,11,0,0,0,0
2020-04-25,Kedah,0,0,11,0,0,0,0
2020-04-26,Kedah,0,0,11,0,0,0,0
2020-04-27,Kedah,0,0,11,0,0,0,0
2020-04-28,Kedah,0,1,10,0,0,0,0
2020-04-29,Kedah,0,0,10,0,0,0,0
2020-04-30,Kedah,0,0,10,0,0,0,0
2020-05-01,Kedah,0,1,9,0,0,0,0
2020-05-02,Kedah,0,0,9,0,0,0,0
2020-05-03,Kedah,0,0,9,0,0,0,0
2020-05-04,Kedah,0,1,8,0,0,0,0
2020-05-05,Kedah,0,0,8,0,0,0,0
2020-05-06,Kedah,0,0,8,0,0,0,0
2020-05-07,Kedah,0,1,7,0,0,0,0
2020-05-08,Kedah,0,0,7,0,0,0,0
2020-05-09,Kedah,0,0,7,0,0,0,0
2020-05-10,Kedah,0,0,7,0,0,0,0
2020-05-11,Kedah,0,1,6,0,0,0,0
2020-05-12,Kedah,0,0,6,0,0,0,0
2020-05-13,Kedah,0,0,6,0,0,0,0
2020-05-14,Kedah,0,0,6,0,0,0,0
2020-05-15,Kedah,0,0,6,0,0,0,0
2020-05-16,Kedah,0,0,6,0,0,0,0
2020-05-17,Kedah,0,0,6,0,0,0,0
2020-05-18,Kedah,0,0,6,0,0,0,0
2020-05-19,Kedah,0,0,6,0,0,0,0
2020-05-20,Kedah,1,0,7,0,0,1,0
2020-05-21,Kedah,0,0,7,0,0,0,0
2020-05-22,Kedah,0,0,7,0,0,0,0
2020-05-23,Kedah,0,1,6,0,0,0,0
2020-05-24,Kedah,0,0,6,0,0,0,0
2020-05-25,Kedah,0,0,6,0,0,0,0
2020-05-26,Kedah,0,2,4,0,0,0,0
2020-05-27,Kedah,0,0,4,0,0,0,0
2020-05-28,Kedah,0,0,4,0,0,0,0
2020-05-29,Kedah,0,0,4,0,0,0,0
2020-05-30,Kedah,0,0,4,0,0,0,0
2020-05-31,Kedah,0,0,4,0,0,0,0
2020-06-01,Kedah,0,0,4,0,0,0,0
2020-06-02,Kedah,0,1,3,0,0,0,0
2020-06-03,Kedah,0,0,3,0,0,0,0
2020-06-04,Kedah,0,0,3,0,0,0,0
2020-06-05,Kedah,0,0,3,0,0,0,0
2020-06-06,Kedah,0,0,3,0,0,0,0
2020-06-07,Kedah,0,0,3,0,0,0,0
2020-06-08,Kedah,0,0,3,0,0,0,0
2020-06-09,Kedah,0,0,3,0,0,0,0
2020-06-10,Kedah,0,0,3,0,0,0,0
2020-06-11,Kedah,0,0,3,0,0,0,0
2020-06-12,Kedah,0,0,3,0,0,0,0
2020-06-13,Kedah,0,0,3,0,0,0,0
2020-06-14,Kedah,0,0,3,0,0,0,0
2020-06-15,Kedah,0,0,3,0,0,0,0
2020-06-16,Kedah,0,0,3,0,0,0,0
2020-06-17,Kedah,0,0,3,0,0,0,0
2020-06-18,Kedah,0,1,2,0,0,0,0
2020-06-19,Kedah,0,0,2,0,0,0,0
2020-06-20,Kedah,0,0,2,0,0,0,0
2020-06-21,Kedah,0,0,2,0,0,0,0
2020-06-22,Kedah,0,0,2,0,0,0,0
2020-06-23,Kedah,0,0,2,0,0,0,0
2020-06-24,Kedah,0,0,2,0,0,0,0
2020-06-25,Kedah,0,0,2,0,0,0,0
2020-06-26,Kedah,1,0,3,0,1,0,0
2020-06-27,Kedah,0,0,3,0,0,0,0
2020-06-28,Kedah,0,0,3,0,0,0,0
2020-06-29,Kedah,0,0,3,0,0,0,0
2020-06-30,Kedah,0,0,3,0,0,0,0
2020-07-01,Kedah,0,1,2,0,0,0,0
2020-07-02,Kedah,0,0,2,0,0,0,0
2020-07-03,Kedah,0,1,1,0,0,0,0
2020-07-04,Kedah,0,0,1,0,0,0,0
2020-07-05,Kedah,0,1,0,0,0,0,0
2020-07-06,Kedah,0,0,0,0,0,0,0
2020-07-07,Kedah,0,0,0,0,0,0,0
2020-07-08,Kedah,0,0,0,0,0,0,0
2020-07-09,Kedah,0,0,0,0,0,0,0
