Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Kelantan,0,0,0,0,0,0,0
2020-01-26,Kelantan,0,0,0,0,0,0,0
2020-01-27,Kelantan,0,0,0,0,0,0,0
2020-01-28,Kelantan,0,0,0,0,0,0,0
2020-01-29,Kelantan,0,0,0,0,0,0,0
2020-01-30,Kelantan,0,0,0,0,0,0,0
2020-01-31,Kelantan,0,0,0,0,0,0,0
2020-02-01,Kelantan,0,0,0,0,0,0,0
2020-02-02,Kelantan,0,0,0,0,0,0,0
2020-02-03,Kelantan,0,0,0,0,0,0,0
2020-02-04,Kelantan,0,0,0,0,0,0,0
2020-02-05,Kelantan,0,0,0,0,0,0,0
2020-02-06,Kelantan,0,0,0,0,0,0,0
2020-02-07,Kelantan,0,0,0,0,0,0,0
2020-02-08,Kelantan,0,0,0,0,0,0,0
2020-02-09,Kelantan,0,0,0,0,0,0,0
2020-02-10,Kelantan,0,0,0,0,0,0,0
2020-02-11,Kelantan,0,0,0,0,0,0,0
2020-02-12,Kelantan,0,0,0,0,0,0,0
2020-02-13,Kelantan,0,0,0,0,0,0,0
2020-02-14,Kelantan,0,0,0,0,0,0,0
2020-02-15,Kelantan,0,0,0,0,0,0,0
2020-02-16,Kelantan,0,0,0,0,0,0,0
2020-02-17,Kelantan,0,0,0,0,0,0,0
2020-02-18,Kelantan,0,0,0,0,0,0,0
2020-02-19,Kelantan,0,0,0,0,0,0,0
2020-02-20,Kelantan,0,0,0,0,0,0,0
2020-02-21,Kelantan,0,0,0,0,0,0,0
2020-02-22,Kelantan,0,0,0,0,0,0,0
2020-02-23,Kelantan,0,0,0,0,0,0,0
2020-02-24,Kelantan,0,0,0,0,0,0,0
2020-02-25,Kelantan,0,0,0,0,0,0,0
2020-02-26,Kelantan,0,0,0,0,0,0,0
2020-02-27,Kelantan,0,0,0,0,0,0,0
2020-02-28,Kelantan,0,0,0,0,0,0,0
2020-02-29,Kelantan,0,0,0,0,0,0,0
2020-03-01,Kelantan,0,0,0,0,0,0,0
2020-03-02,Kelantan,0,0,0,0,0,0,0
2020-03-03,Kelantan,0,0,0,0,0,0,0
2020-03-04,Kelantan,0,0,0,0,0,0,0
2020-03-05,Kelantan,0,0,0,0,0,0,0
2020-03-06,Kelantan,0,0,0,0,0,0,0
2020-03-07,Kelantan,0,0,0,0,0,0,0
2020-03-08,Kelantan,0,0,0,0,0,0,0
2020-03-09,Kelantan,0,0,0,0,0,0,0
2020-03-10,Kelantan,0,0,0,0,0,0,0
2020-03-11,Kelantan,0,0,0,0,0,0,0
2020-03-12,Kelantan,0,0,0,0,0,0,0
2020-03-13,Kelantan,3,0,3,0,0,3,0
2020-03-14,Kelantan,0,0,3,0,0,0,0
2020-03-15,Kelantan,3,0,6,0,0,1,2
2020-03-16,Kelantan,12,0,18,0,0,10,2
2020-03-17,Kelantan,6,0,24,0,0,1,5
2020-03-18,Kelantan,6,0,30,0,0,4,2
2020-03-19,Kelantan,13,0,43,0,0,7,6
2020-03-20,Kelantan,8,0,51,0,0,5,3
2020-03-21,Kelantan,10,0,60,3,1,5,1
2020-03-22,Kelantan,2,0,62,0,0,2,0
2020-03-23,Kelantan,8,0,70,0,0,8,0
2020-03-24,Kelantan,7,0,77,1,1,5,0
2020-03-25,Kelantan,6,0,83,0,0,3,3
2020-03-26,Kelantan,10,0,92,2,0,7,1
2020-03-27,Kelantan,4,0,96,2,0,0,2
2020-03-28,Kelantan,10,0,106,1,0,7,2
2020-03-29,Kelantan,15,0,121,1,1,9,4
2020-03-30,Kelantan,4,1,124,0,0,4,0
2020-03-31,Kelantan,4,0,128,0,1,3,0
2020-04-01,Kelantan,3,0,131,1,0,2,0
2020-04-02,Kelantan,3,9,125,0,0,2,1
2020-04-03,Kelantan,0,7,117,0,0,0,0
2020-04-04,Kelantan,2,39,80,0,0,1,1
2020-04-05,Kelantan,2,1,81,0,0,1,1
2020-04-06,Kelantan,1,0,82,0,0,1,0
2020-04-07,Kelantan,5,0,87,1,1,2,1
2020-04-08,Kelantan,0,26,61,0,0,0,0
2020-04-09,Kelantan,1,0,62,0,0,1,0
2020-04-10,Kelantan,1,0,63,0,0,1,0
2020-04-11,Kelantan,2,0,65,0,1,1,0
2020-04-12,Kelantan,1,0,66,0,0,1,0
2020-04-13,Kelantan,2,0,68,0,0,2,0
2020-04-14,Kelantan,0,41,27,0,0,0,0
2020-04-15,Kelantan,0,9,18,0,0,0,0
2020-04-16,Kelantan,1,0,19,0,0,1,0
2020-04-17,Kelantan,0,0,19,0,0,0,0
2020-04-18,Kelantan,0,8,11,0,0,0,0
2020-04-19,Kelantan,0,0,11,0,0,0,0
2020-04-20,Kelantan,0,0,11,0,0,0,0
2020-04-21,Kelantan,0,0,11,0,0,0,0
2020-04-22,Kelantan,0,0,11,0,0,0,0
2020-04-23,Kelantan,0,0,11,0,0,0,0
2020-04-24,Kelantan,0,0,11,0,0,0,0
2020-04-25,Kelantan,0,0,11,0,0,0,0
2020-04-26,Kelantan,0,3,8,0,0,0,0
2020-04-27,Kelantan,0,0,8,0,0,0,0
2020-04-28,Kelantan,0,0,8,0,0,0,0
2020-04-29,Kelantan,0,0,8,0,0,0,0
2020-04-30,Kelantan,0,0,8,0,0,0,0
2020-05-01,Kelantan,0,0,8,0,0,0,0
2020-05-02,Kelantan,0,0,8,0,0,0,0
2020-05-03,Kelantan,0,0,8,0,0,0,0
2020-05-04,Kelantan,0,0,8,0,0,0,0
2020-05-05,Kelantan,0,0,8,0,0,0,0
2020-05-06,Kelantan,0,2,6,0,0,0,0
2020-05-07,Kelantan,0,0,6,0,0,0,0
2020-05-08,Kelantan,0,0,6,0,0,0,0
2020-05-09,Kelantan,0,0,6,0,0,0,0
2020-05-10,Kelantan,0,0,6,0,0,0,0
2020-05-11,Kelantan,0,0,6,0,0,0,0
2020-05-12,Kelantan,0,0,6,0,0,0,0
2020-05-13,Kelantan,0,0,6,0,0,0,0
2020-05-14,Kelantan,0,0,6,0,0,0,0
2020-05-15,Kelantan,0,0,6,0,0,0,0
2020-05-16,Kelantan,0,0,6,0,0,0,0
2020-05-17,Kelantan,0,0,6,0,0,0,0
2020-05-18,Kelantan,0,0,6,0,0,0,0
2020-05-19,Kelantan,0,0,6,0,0,0,0
2020-05-20,Kelantan,1,1,6,0,0,1,0
2020-05-21,Kelantan,0,0,6,0,0,0,0
2020-05-22,Kelantan,0,0,6,0,0,0,0
