Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Negeri Sembilan,0,0,0,0,0,0,0
2020-01-26,Negeri Sembilan,0,0,0,0,0,0,0
2020-01-27,Negeri Sembilan,0,0,0,0,0,0,0
2020-01-28,Negeri Sembilan,0,0,0,0,0,0,0
2020-01-29,Negeri Sembilan,0,0,0,0,0,0,0
2020-01-30,Negeri Sembilan,0,0,0,0,0,0,0
2020-01-31,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-01,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-02,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-03,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-04,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-05,Negeri Sembilan,2,0,2,1,0,1,0
2020-02-06,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-07,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-08,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-09,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-10,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-11,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-12,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-13,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-14,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-15,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-16,Negeri Sembilan,0,0,2,0,0,0,0
2020-02-17,Negeri Sembilan,0,2,0,0,0,0,0
2020-02-18,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-19,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-20,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-21,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-22,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-23,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-24,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-25,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-26,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-27,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-28,Negeri Sembilan,0,0,0,0,0,0,0
2020-02-29,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-01,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-02,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-03,Negeri Sembilan,0,0,0,0,0,0,0
2020-03-04,Negeri Sembilan,2,0,2,0,0,0,2
2020-03-05,Negeri Sembilan,0,0,2,0,0,0,0
2020-03-06,Negeri Sembilan,0,0,2,0,0,0,0
2020-03-07,Negeri Sembilan,0,0,2,0,0,0,0
2020-03-08,Negeri Sembilan,0,0,2,0,0,0,0
2020-03-09,Negeri Sembilan,1,0,3,0,0,1,0
2020-03-10,Negeri Sembilan,1,0,4,0,0,1,0
2020-03-11,Negeri Sembilan,2,0,6,0,0,1,1
2020-03-12,Negeri Sembilan,2,0,8,0,0,2,0
2020-03-13,Negeri Sembilan,1,0,9,0,0,1,0
2020-03-14,Negeri Sembilan,8,0,17,0,0,6,2
2020-03-15,Negeri Sembilan,11,0,28,0,0,9,2
2020-03-16,Negeri Sembilan,13,0,41,0,0,12,1
2020-03-17,Negeri Sembilan,3,0,44,0,0,2,1
2020-03-18,Negeri Sembilan,1,1,44,0,0,1,0
2020-03-19,Negeri Sembilan,11,0,55,0,1,9,1
2020-03-20,Negeri Sembilan,9,0,64,0,0,5,4
2020-03-21,Negeri Sembilan,6,0,70,0,0,5,1
2020-03-22,Negeri Sembilan,6,1,75,0,0,4,2
2020-03-23,Negeri Sembilan,16,0,91,0,0,12,4
2020-03-24,Negeri Sembilan,14,0,105,1,0,10,3
2020-03-25,Negeri Sembilan,14,0,119,1,0,6,7
2020-03-26,Negeri Sembilan,9,0,128,0,0,6,3
2020-03-27,Negeri Sembilan,6,10,124,0,0,3,3
2020-03-28,Negeri Sembilan,15,5,133,0,0,13,2
2020-03-29,Negeri Sembilan,9,9,133,0,0,7,2
2020-03-30,Negeri Sembilan,10,9,133,0,0,6,4
2020-03-31,Negeri Sembilan,9,13,129,2,0,3,4
2020-04-01,Negeri Sembilan,8,6,131,0,1,5,2
2020-04-02,Negeri Sembilan,17,3,144,0,0,10,7
2020-04-03,Negeri Sembilan,4,0,147,0,0,4,0
2020-04-04,Negeri Sembilan,9,4,152,0,0,9,0
