Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Pahang,0,0,0,0,0,0,0
2020-01-26,Pahang,0,0,0,0,0,0,0
2020-01-27,Pahang,0,0,0,0,0,0,0
2020-01-28,Pahang,0,0,0,0,0,0,0
2020-01-29,Pahang,0,0,0,0,0,0,0
2020-01-30,Pahang,0,0,0,0,0,0,0
2020-01-31,Pahang,0,0,0,0,0,0,0
2020-02-01,Pahang,0,0,0,0,0,0,0
2020-02-02,Pahang,0,0,0,0,0,0,0
2020-02-03,Pahang,0,0,0,0,0,0,0
2020-02-04,Pahang,0,0,0,0,0,0,0
2020-02-05,Pahang,0,0,0,0,0,0,0
2020-02-06,Pahang,0,0,0,0,0,0,0
2020-02-07,Pahang,0,0,0,0,0,0,0
2020-02-08,Pahang,0,0,0,0,0,0,0
2020-02-09,Pahang,0,0,0,0,0,0,0
2020-02-10,Pahang,0,0,0,0,0,0,0
2020-02-11,Pahang,0,0,0,0,0,0,0
2020-02-12,Pahang,0,0,0,0,0,0,0
2020-02-13,Pahang,0,0,0,0,0,0,0
2020-02-14,Pahang,0,0,0,0,0,0,0
2020-02-15,Pahang,0,0,0,0,0,0,0
2020-02-16,Pahang,0,0,0,0,0,0,0
2020-02-17,Pahang,0,0,0,0,0,0,0
2020-02-18,Pahang,0,0,0,0,0,0,0
2020-02-19,Pahang,0,0,0,0,0,0,0
2020-02-20,Pahang,0,0,0,0,0,0,0
2020-02-21,Pahang,0,0,0,0,0,0,0
2020-02-22,Pahang,0,0,0,0,0,0,0
2020-02-23,Pahang,0,0,0,0,0,0,0
2020-02-24,Pahang,0,0,0,0,0,0,0
2020-02-25,Pahang,0,0,0,0,0,0,0
2020-02-26,Pahang,0,0,0,0,0,0,0
2020-02-27,Pahang,0,0,0,0,0,0,0
2020-02-28,Pahang,0,0,0,0,0,0,0
2020-02-29,Pahang,0,0,0,0,0,0,0
2020-03-01,Pahang,0,0,0,0,0,0,0
2020-03-02,Pahang,0,0,0,0,0,0,0
2020-03-03,Pahang,0,0,0,0,0,0,0
2020-03-04,Pahang,0,0,0,0,0,0,0
2020-03-05,Pahang,0,0,0,0,0,0,0
2020-03-06,Pahang,0,0,0,0,0,0,0
2020-03-07,Pahang,0,0,0,0,0,0,0
2020-03-08,Pahang,0,0,0,0,0,0,0
2020-03-09,Pahang,0,0,0,0,0,0,0
2020-03-10,Pahang,0,0,0,0,0,0,0
2020-03-11,Pahang,1,0,1,0,0,0,1
2020-03-12,Pahang,0,0,1,0,0,0,0
2020-03-13,Pahang,1,0,2,0,0,1,0
2020-03-14,Pahang,0,0,2,0,0,0,0
2020-03-15,Pahang,7,0,9,0,0,6,1
2020-03-16,Pahang,10,0,19,0,1,8,1
2020-03-17,Pahang,2,0,21,0,0,2,0
2020-03-18,Pahang,11,0,32,1,1,9,0
2020-03-19,Pahang,0,0,32,0,0,0,0
2020-03-20,Pahang,4,0,36,0,1,3,0
2020-03-21,Pahang,0,0,36,0,0,0,0
2020-03-22,Pahang,3,2,37,0,0,3,0
2020-03-23,Pahang,16,1,52,0,2,13,1
2020-03-24,Pahang,1,0,53,0,0,0,1
2020-03-25,Pahang,7,1,59,1,1,4,1
2020-03-26,Pahang,2,1,60,1,0,1,0
2020-03-27,Pahang,5,0,65,0,1,2,1
2020-03-28,Pahang,14,2,77,0,3,11,0
2020-03-29,Pahang,12,0,89,0,0,11,1
2020-03-30,Pahang,3,12,80,0,0,3,0
2020-03-31,Pahang,3,0,83,0,0,3,0
2020-04-01,Pahang,9,1,91,0,2,7,0
2020-04-02,Pahang,3,0,94,0,0,3,0
2020-04-03,Pahang,13,2,104,0,5,8,0
2020-04-04,Pahang,24,0,128,0,3,20,1
2020-04-05,Pahang,7,0,135,1,1,5,0
2020-04-06,Pahang,3,0,138,0,0,3,0
2020-04-07,Pahang,5,0,143,1,0,3,1
2020-04-08,Pahang,3,1,145,0,0,3,0
2020-04-09,Pahang,14,0,159,1,3,9,1
2020-04-10,Pahang,4,1,162,0,2,2,0
2020-04-11,Pahang,27,8,181,1,1,24,1
