Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Perak,0,0,0,0,0,0,0
2020-01-26,Perak,0,0,0,0,0,0,0
2020-01-27,Perak,0,0,0,0,0,0,0
2020-01-28,Perak,0,0,0,0,0,0,0
2020-01-29,Perak,0,0,0,0,0,0,0
2020-01-30,Perak,0,0,0,0,0,0,0
2020-01-31,Perak,0,0,0,0,0,0,0
2020-02-01,Perak,0,0,0,0,0,0,0
2020-02-02,Perak,0,0,0,0,0,0,0
2020-02-03,Perak,0,0,0,0,0,0,0
2020-02-04,Perak,0,0,0,0,0,0,0
2020-02-05,Perak,0,0,0,0,0,0,0
2020-02-06,Perak,0,0,0,0,0,0,0
2020-02-07,Perak,0,0,0,0,0,0,0
2020-02-08,Perak,0,0,0,0,0,0,0
2020-02-09,Perak,0,0,0,0,0,0,0
2020-02-10,Perak,0,0,0,0,0,0,0
2020-02-11,Perak,0,0,0,0,0,0,0
2020-02-12,Perak,0,0,0,0,0,0,0
2020-02-13,Perak,0,0,0,0,0,0,0
2020-02-14,Perak,0,0,0,0,0,0,0
2020-02-15,Perak,0,0,0,0,0,0,0
2020-02-16,Perak,0,0,0,0,0,0,0
2020-02-17,Perak,0,0,0,0,0,0,0
2020-02-18,Perak,0,0,0,0,0,0,0
2020-02-19,Perak,0,0,0,0,0,0,0
2020-02-20,Perak,0,0,0,0,0,0,0
2020-02-21,Perak,0,0,0,0,0,0,0
2020-02-22,Perak,0,0,0,0,0,0,0
2020-02-23,Perak,0,0,0,0,0,0,0
2020-02-24,Perak,0,0,0,0,0,0,0
2020-02-25,Perak,0,0,0,0,0,0,0
2020-02-26,Perak,0,0,0,0,0,0,0
2020-02-27,Perak,0,0,0,0,0,0,0
2020-02-28,Perak,0,0,0,0,0,0,0
2020-02-29,Perak,0,0,0,0,0,0,0
2020-03-01,Perak,0,0,0,0,0,0,0
2020-03-02,Perak,0,0,0,0,0,0,0
2020-03-03,Perak,0,0,0,0,0,0,0
2020-03-04,Perak,0,0,0,0,0,0,0
2020-03-05,Perak,0,0,0,0,0,0,0
2020-03-06,Perak,0,0,0,0,0,0,0
2020-03-07,Perak,0,0,0,0,0,0,0
2020-03-08,Perak,0,0,0,0,0,0,0
2020-03-09,Perak,0,0,0,0,0,0,0
