Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Perlis,0,0,0,0,0,0,0
2020-01-26,Perlis,0,0,0,0,0,0,0
2020-01-27,Perlis,0,0,0,0,0,0,0
2020-01-28,Perlis,0,0,0,0,0,0,0
2020-01-29,Perlis,0,0,0,0,0,0,0
2020-01-30,Perlis,0,0,0,0,0,0,0
2020-01-31,Perlis,0,0,0,0,0,0,0
2020-02-01,Perlis,0,0,0,0,0,0,0
2020-02-02,Perlis,0,0,0,0,0,0,0
2020-02-03,Perlis,0,0,0,0,0,0,0
2020-02-04,Perlis,0,0,0,0,0,0,0
2020-02-05,Perlis,0,0,0,0,0,0,0
2020-02-06,Perlis,0,0,0,0,0,0,0
2020-02-07,Perlis,0,0,0,0,0,0,0
2020-02-08,Perlis,0,0,0,0,0,0,0
2020-02-09,Perlis,0,0,0,0,0,0,0
2020-02-10,Perlis,0,0,0,0,0,0,0
2020-02-11,Perlis,0,0,0,0,0,0,0
2020-02-12,Perlis,0,0,0,0,0,0,0
2020-02-13,Perlis,0,0,0,0,0,0,0
2020-02-14,Perlis,0,0,0,0,0,0,0
2020-02-15,Perlis,0,0,0,0,0,0,0
2020-02-16,Perlis,0,0,0,0,0,0,0
2020-02-17,Perlis,0,0,0,0,0,0,0
2020-02-18,Perlis,0,0,0,0,0,0,0
2020-02-19,Perlis,0,0,0,0,0,0,0
2020-02-20,Perlis,0,0,0,0,0,0,0
2020-02-21,Perlis,0,0,0,0,0,0,0
2020-02-22,Perlis,0,0,0,0,0,0,0
2020-02-23,Perlis,0,0,0,0,0,0,0
2020-02-24,Perlis,0,0,0,0,0,0,0
2020-02-25,Perlis,0,0,0,0,0,0,0
2020-02-26,Perlis,0,0,0,0,0,0,0
2020-02-27,Perlis,0,0,0,0,0,0,0
2020-02-28,Perlis,0,0,0,0,0,0,0
2020-02-29,Perlis,0,0,0,0,0,0,0
2020-03-01,Perlis,0,0,0,0,0,0,0
2020-03-02,Perlis,0,0,0,0,0,0,0
2020-03-03,Perlis,0,0,0,0,0,0,0
2020-03-04,Perlis,0,0,0,0,0,0,0
2020-03-05,Perlis,0,0,0,0,0,0,0
2020-03-06,Perlis,0,0,0,0,0,0,0
2020-03-07,Perlis,0,0,0,0,0,0,0
2020-03-08,Perlis,0,0,0,0,0,0,0
2020-03-09,Perlis,0,0,0,0,0,0,0
2020-03-10,Perlis,0,0,0,0,0,0,0
2020-03-11,Perlis,0,0,0,0,0,0,0
2020-03-12,Perlis,0,0,0,0,0,0,0
2020-03-13,Perlis,1,0,1,0,0,1,0
2020-03-14,Perlis,1,0,2,0,0,1,0
2020-03-15,Perlis,4,0,6,0,0,3,1
2020-03-16,Perlis,3,0,9,0,0,2,1
2020-03-17,Perlis,0,0,9,0,0,0,0
2020-03-18,Perlis,0,0,9,0,0,0,0
2020-03-19,Perlis,1,0,10,0,0,1,0
2020-03-20,Perlis,0,0,10,0,0,0,0
2020-03-21,Perlis,0,0,10,0,0,0,0
2020-03-22,Perlis,0,0,9,0,0,0,0
2020-03-23,Perlis,0,0,9,0,0,0,0
2020-03-24,Perlis,0,0,9,0,0,0,0
2020-03-25,Perlis,1,0,10,0,0,1,0
2020-03-26,Perlis,0,0,10,0,0,0,0
2020-03-27,Perlis,0,0,10,0,0,0,0
2020-03-28,Perlis,0,0,10,0,0,0,0
2020-03-29,Perlis,0,2,8,0,0,0,0
2020-03-30,Perlis,1,0,9,0,0,1,0
2020-03-31,Perlis,1,6,4,0,0,1,0
2020-04-01,Perlis,0,0,4,0,0,0,0
2020-04-02,Perlis,0,0,4,0,0,0,0
2020-04-03,Perlis,0,0,4,0,0,0,0
2020-04-04,Perlis,0,0,4,0,0,0,0
