Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Pulau Pinang,0,0,0,0,0,0,0
2020-01-26,Pulau Pinang,0,0,0,0,0,0,0
2020-01-27,Pulau Pinang,0,0,0,0,0,0,0
2020-01-28,Pulau Pinang,0,0,0,0,0,0,0
2020-01-29,Pulau Pinang,0,0,0,0,0,0,0
2020-01-30,Pulau Pinang,0,0,0,0,0,0,0
2020-01-31,Pulau Pinang,0,0,0,0,0,0,0
2020-02-01,Pulau Pinang,0,0,0,0,0,0,0
2020-02-02,Pulau Pinang,0,0,0,0,0,0,0
2020-02-03,Pulau Pinang,0,0,0,0,0,0,0
2020-02-04,Pulau Pinang,0,0,0,0,0,0,0
2020-02-05,Pulau Pinang,0,0,0,0,0,0,0
2020-02-06,Pulau Pinang,0,0,0,0,0,0,0
2020-02-07,Pulau Pinang,0,0,0,0,0,0,0
2020-02-08,Pulau Pinang,0,0,0,0,0,0,0
2020-02-09,Pulau Pinang,0,0,0,0,0,0,0
2020-02-10,Pulau Pinang,0,0,0,0,0,0,0
2020-02-11,Pulau Pinang,0,0,0,0,0,0,0
2020-02-12,Pulau Pinang,0,0,0,0,0,0,0
2020-02-13,Pulau Pinang,0,0,0,0,0,0,0
2020-02-14,Pulau Pinang,0,0,0,0,0,0,0
2020-02-15,Pulau Pinang,0,0,0,0,0,0,0
2020-02-16,Pulau Pinang,0,0,0,0,0,0,0
2020-02-17,Pulau Pinang,0,0,0,0,0,0,0
2020-02-18,Pulau Pinang,0,0,0,0,0,0,0
2020-02-19,Pulau Pinang,0,0,0,0,0,0,0
2020-02-20,Pulau Pinang,0,0,0,0,0,0,0
2020-02-21,Pulau Pinang,0,0,0,0,0,0,0
2020-02-22,Pulau Pinang,0,0,0,0,0,0,0
2020-02-23,Pulau Pinang,0,0,0,0,0,0,0
2020-02-24,Pulau Pinang,0,0,0,0,0,0,0
2020-02-25,Pulau Pinang,0,0,0,0,0,0,0
2020-02-26,Pulau Pinang,0,0,0,0,0,0,0
2020-02-27,Pulau Pinang,0,0,0,0,0,0,0
2020-02-28,Pulau Pinang,0,0,0,0,0,0,0
2020-02-29,Pulau Pinang,0,0,0,0,0,0,0
2020-03-01,Pulau Pinang,0,0,0,0,0,0,0
2020-03-02,Pulau Pinang,0,0,0,0,0,0,0
2020-03-03,Pulau Pinang,0,0,0,0,0,0,0
2020-03-04,Pulau Pinang,0,0,0,0,0,0,0
2020-03-05,Pulau Pinang,0,0,0,0,0,0,0
2020-03-06,Pulau Pinang,1,0,1,0,0,1,0
2020-03-07,Pulau Pinang,0,0,1,0,0,0,0
2020-03-08,Pulau Pinang,0,0,1,0,0,0,0
2020-03-09,Pulau Pinang,0,0,1,0,0,0,0
2020-03-10,Pulau Pinang,1,0,2,0,0,1,0
2020-03-11,Pulau Pinang,0,0,2,0,0,0,0
2020-03-12,Pulau Pinang,0,0,2,0,0,0,0
2020-03-13,Pulau Pinang,5,0,7,0,0,3,2
2020-03-14,Pulau Pinang,0,0,7,0,0,0,0
2020-03-15,Pulau Pinang,6,0,13,0,0,4,2
2020-03-16,Pulau Pinang,5,0,18,0,0,5,0
2020-03-17,Pulau Pinang,9,0,27,1,1,4,3
2020-03-18,Pulau Pinang,5,0,32,0,1,3,0
2020-03-19,Pulau Pinang,0,0,32,0,0,0,0
2020-03-20,Pulau Pinang,5,0,37,0,0,4,1
2020-03-21,Pulau Pinang,13,0,50,0,0,9,4
2020-03-22,Pulau Pinang,8,0,57,0,2,6,0
2020-03-23,Pulau Pinang,8,0,65,0,0,8,0
2020-03-24,Pulau Pinang,2,0,67,0,0,1,1
2020-03-25,Pulau Pinang,1,0,68,0,0,0,1
2020-03-26,Pulau Pinang,4,0,72,0,1,3,0
2020-03-27,Pulau Pinang,6,0,78,1,0,5,0
2020-03-28,Pulau Pinang,6,0,84,0,0,6,0
2020-03-29,Pulau Pinang,1,0,85,0,0,1,0
2020-03-30,Pulau Pinang,1,0,86,0,0,1,0
2020-03-31,Pulau Pinang,6,0,92,0,1,5,0
2020-04-01,Pulau Pinang,2,0,94,1,0,1,0
2020-04-02,Pulau Pinang,2,0,96,0,0,2,0
2020-04-03,Pulau Pinang,0,0,96,0,0,0,0
2020-04-04,Pulau Pinang,1,0,97,0,0,1,0
2020-04-05,Pulau Pinang,2,0,99,0,0,2,0
2020-04-06,Pulau Pinang,0,0,99,0,0,0,0
2020-04-07,Pulau Pinang,1,0,100,0,0,1,0
2020-04-08,Pulau Pinang,6,0,106,1,0,4,1
2020-04-09,Pulau Pinang,0,0,106,0,0,0,0
2020-04-10,Pulau Pinang,1,0,107,0,0,0,1
2020-04-11,Pulau Pinang,5,0,112,2,0,2,1
2020-04-12,Pulau Pinang,2,0,114,1,0,1,0
2020-04-13,Pulau Pinang,0,0,114,0,0,0,0
2020-04-14,Pulau Pinang,3,0,117,0,1,1,1
2020-04-15,Pulau Pinang,0,0,117,0,0,0,0
2020-04-16,Pulau Pinang,0,0,117,0,0,0,0
2020-04-17,Pulau Pinang,0,101,16,0,0,0,0
2020-04-18,Pulau Pinang,0,2,14,0,0,0,0
2020-04-19,Pulau Pinang,0,1,13,0,0,0,0
2020-04-20,Pulau Pinang,0,1,12,0,0,0,0
2020-04-21,Pulau Pinang,0,0,12,0,0,0,0
2020-04-22,Pulau Pinang,0,0,12,0,0,0,0
2020-04-23,Pulau Pinang,0,2,10,0,0,0,0
2020-04-24,Pulau Pinang,0,4,6,0,0,0,0
2020-04-25,Pulau Pinang,0,0,6,0,0,0,0
2020-04-26,Pulau Pinang,2,0,8,0,0,0,2
2020-04-27,Pulau Pinang,0,1,7,0,0,0,0
2020-04-28,Pulau Pinang,0,0,7,0,0,0,0
2020-04-29,Pulau Pinang,0,3,4,0,0,0,0
2020-04-30,Pulau Pinang,0,1,3,0,0,0,0
2020-05-01,Pulau Pinang,0,0,3,0,0,0,0
2020-05-02,Pulau Pinang,0,0,3,0,0,0,0
2020-05-03,Pulau Pinang,0,0,3,0,0,0,0
2020-05-04,Pulau Pinang,0,2,1,0,0,0,0
2020-05-05,Pulau Pinang,1,0,2,0,0,1,0
2020-05-06,Pulau Pinang,0,0,2,0,0,0,0
2020-05-07,Pulau Pinang,0,0,2,0,0,0,0
2020-05-08,Pulau Pinang,0,0,2,0,0,0,0
2020-05-09,Pulau Pinang,0,0,2,0,0,0,0
2020-05-10,Pulau Pinang,0,0,2,0,0,0,0
2020-05-11,Pulau Pinang,0,0,2,0,0,0,0
2020-05-12,Pulau Pinang,0,0,2,0,0,0,0
2020-05-13,Pulau Pinang,0,0,2,0,0,0,0
2020-05-14,Pulau Pinang,0,0,2,0,0,0,0
2020-05-15,Pulau Pinang,0,0,2,0,0,0,0
2020-05-16,Pulau Pinang,0,0,2,0,0,0,0
2020-05-17,Pulau Pinang,0,0,2,0,0,0,0
2020-05-18,Pulau Pinang,0,0,2,0,0,0,0
2020-05-19,Pulau Pinang,0,0,2,0,0,0,0
2020-05-20,Pulau Pinang,0,0,2,0,0,0,0
2020-05-21,Pulau Pinang,0,0,2,0,0,0,0
2020-05-22,Pulau Pinang,0,0,2,0,0,0,0
2020-05-23,Pulau Pinang,0,0,2,0,0,0,0
2020-05-24,Pulau Pinang,0,0,2,0,0,0,0
2020-05-25,Pulau Pinang,0,0,2,0,0,0,0
2020-05-26,Pulau Pinang,0,0,2,0,0,0,0
2020-05-27,Pulau Pinang,0,0,2,0,0,0,0
2020-05-28,Pulau Pinang,0,0,2,0,0,0,0
2020-05-29,Pulau Pinang,0,0,2,0,0,0,0
2020-05-30,Pulau Pinang,0,0,2,0,0,0,0
2020-05-31,Pulau Pinang,0,0,2,0,0,0,0
2020-06-01,Pulau Pinang,0,0,2,0,0,0,0
2020-06-02,Pulau Pinang,0,0,2,0,0,0,0
2020-06-03,Pulau Pinang,0,0,2,0,0,0,0
2020-06-04,Pulau Pinang,0,0,2,0,0,0,0
2020-06-05,Pulau Pinang,0,0,2,0,0,0,0
2020-06-06,Pulau Pinang,0,0,2,0,0,0,0
2020-06-07,Pulau Pinang,0,0,2,0,0,0,0
2020-06-08,Pulau Pinang,0,0,2,0,0,0,0
2020-06-09,Pulau Pinang,0,0,2,0,0,0,0
2020-06-10,Pulau Pinang,0,0,2,0,0,0,0
2020-06-11,Pulau Pinang,0,0,2,0,0,0,0
2020-06-12,Pulau Pinang,0,0,2,0,0,0,0
2020-06-13,Pulau Pinang,0,0,2,0,0,0,0
2020-06-14,Pulau Pinang,0,0,2,0,0,0,0
2020-06-15,Pulau Pinang,0,0,2,0,0,0,0
2020-06-16,Pulau Pinang,0,0,2,0,0,0,0
2020-06-17,Pulau Pinang,0,0,2,0,0,0,0
2020-06-18,Pulau Pinang,0,2,0,0,0,0,0
2020-06-19,Pulau Pinang,0,0,0,0,0,0,0
2020-06-20,Pulau Pinang,0,0,0,0,0,0,0
2020-06-21,Pulau Pinang,0,0,0,0,0,0,0
2020-06-22,Pulau Pinang,0,0,0,0,0,0,0
2020-06-23,Pulau Pinang,0,0,0,0,0,0,0
2020-06-24,Pulau Pinang,0,0,0,0,0,0,0
2020-06-25,Pulau Pinang,0,0,0,0,0,0,0
2020-06-26,Pulau Pinang,0,0,0,0,0,0,0
2020-06-27,Pulau Pinang,0,0,0,0,0,0,0
2020-06-28,Pulau Pinang,0,0,0,0,0,0,0
2020-06-29,Pulau Pinang,0,0,0,0,0,0,0
2020-06-30,Pulau Pinang,0,0,0,0,0,0,0
2020-07-01,Pulau Pinang,0,0,0,0,0,0,0
2020-07-02,Pulau Pinang,0,0,0,0,0,0,0
2020-07-03,Pulau Pinang,0,0,0,0,0,0,0
2020-07-04,Pulau Pinang,0,0,0,0,0,0,0
2020-07-05,Pulau Pinang,0,0,0,0,0,0,0
2020-07-06,Pulau Pinang,0,0,0,0,0,0,0
2020-07-07,Pulau Pinang,0,0,0,0,0,0,0
2020-07-08,Pulau Pinang,0,0,0,0,0,0,0
2020-07-09,Pulau Pinang,0,0,0,0,0,0,0
2020-07-10,Pulau Pinang,0,0,0,0,0,0,0
2020-07-11,Pulau Pinang,0,0,0,0,0,0,0
2020-07-12,Pulau Pinang,0,0,0,0,0,0,0
2020-07-13,Pulau Pinang,0,0,0,0,0,0,0
2020-07-14,Pulau Pinang,0,0,0,0,0,0,0
2020-07-15,Pulau Pinang,0,0,0,0,0,0,0
2020-07-16,Pulau Pinang,0,0,0,0,0,0,0
2020-07-17,Pulau Pinang,0,0,0,0,0,0,0
2020-07-18,Pulau Pinang,0,0,0,0,0,0,0
2020-07-19,Pulau Pinang,0,0,0,0,0,0,0
2020-07-20,Pulau Pinang,0,0,0,0,0,0,0
2020-07-21,Pulau Pinang,0,0,0,0,0,0,0
2020-07-22,Pulau Pinang,0,0,0,0,0,0,0
2020-07-23,Pulau Pinang,0,0,0,0,0,0,0
2020-07-24,Pulau Pinang,0,0,0,0,0,0,0
2020-07-25,Pulau Pinang,0,0,0,0,0,0,0
2020-07-26,Pulau Pinang,0,0,0,0,0,0,0
2020-07-27,Pulau Pinang,0,0,0,0,0,0,0
2020-07-28,Pulau Pinang,0,0,0,0,0,0,0
2020-07-29,Pulau Pinang,0,0,0,0,0,0,0
2020-07-30,Pulau Pinang,0,0,0,0,0,0,0
2020-07-31,Pulau Pinang,0,0,0,0,0,0,0
2020-08-01,Pulau Pinang,0,0,0,0,0,0,0
