Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Sabah,0,0,0,0,0,0,0
2020-01-26,Sabah,0,0,0,0,0,0,0
2020-01-27,Sabah,0,0,0,0,0,0,0
2020-01-28,Sabah,0,0,0,0,0,0,0
2020-01-29,Sabah,0,0,0,0,0,0,0
2020-01-30,Sabah,0,0,0,0,0,0,0
2020-01-31,Sabah,0,0,0,0,0,0,0
2020-02-01,Sabah,0,0,0,0,0,0,0
2020-02-02,Sabah,0,0,0,0,0,0,0
2020-02-03,Sabah,0,0,0,0,0,0,0
2020-02-04,Sabah,0,0,0,0,0,0,0
2020-02-05,Sabah,0,0,0,0,0,0,0
2020-02-06,Sabah,0,0,0,0,0,0,0
2020-02-07,Sabah,0,0,0,0,0,0,0
2020-02-08,Sabah,0,0,0,0,0,0,0
2020-02-09,Sabah,0,0,0,0,0,0,0
2020-02-10,Sabah,0,0,0,0,0,0,0
2020-02-11,Sabah,0,0,0,0,0,0,0
2020-02-12,Sabah,0,0,0,0,0,0,0
2020-02-13,Sabah,0,0,0,0,0,0,0
2020-02-14,Sabah,0,0,0,0,0,0,0
2020-02-15,Sabah,0,0,0,0,0,0,0
2020-02-16,Sabah,0,0,0,0,0,0,0
2020-02-17,Sabah,0,0,0,0,0,0,0
2020-02-18,Sabah,0,0,0,0,0,0,0
2020-02-19,Sabah,0,0,0,0,0,0,0
2020-02-20,Sabah,0,0,0,0,0,0,0
2020-02-21,Sabah,0,0,0,0,0,0,0
2020-02-22,Sabah,0,0,0,0,0,0,0
2020-02-23,Sabah,0,0,0,0,0,0,0
2020-02-24,Sabah,0,0,0,0,0,0,0
2020-02-25,Sabah,0,0,0,0,0,0,0
2020-02-26,Sabah,0,0,0,0,0,0,0
2020-02-27,Sabah,0,0,0,0,0,0,0
2020-02-28,Sabah,0,0,0,0,0,0,0
2020-02-29,Sabah,0,0,0,0,0,0,0
2020-03-01,Sabah,0,0,0,0,0,0,0
2020-03-02,Sabah,0,0,0,0,0,0,0
2020-03-03,Sabah,0,0,0,0,0,0,0
2020-03-04,Sabah,0,0,0,0,0,0,0
2020-03-05,Sabah,0,0,0,0,0,0,0
2020-03-06,Sabah,0,0,0,0,0,0,0
2020-03-07,Sabah,0,0,0,0,0,0,0
2020-03-08,Sabah,0,0,0,0,0,0,0
2020-03-09,Sabah,0,0,0,0,0,0,0
2020-03-10,Sabah,0,0,0,0,0,0,0
2020-03-11,Sabah,0,0,0,0,0,0,0
