Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Sarawak,0,0,0,0,0,0,0
2020-01-26,Sarawak,0,0,0,0,0,0,0
2020-01-27,Sarawak,0,0,0,0,0,0,0
2020-01-28,Sarawak,0,0,0,0,0,0,0
2020-01-29,Sarawak,0,0,0,0,0,0,0
2020-01-30,Sarawak,0,0,0,0,0,0,0
2020-01-31,Sarawak,0,0,0,0,0,0,0
2020-02-01,Sarawak,0,0,0,0,0,0,0
2020-02-02,Sarawak,0,0,0,0,0,0,0
2020-02-03,Sarawak,0,0,0,0,0,0,0
2020-02-04,Sarawak,0,0,0,0,0,0,0
2020-02-05,Sarawak,0,0,0,0,0,0,0
2020-02-06,Sarawak,0,0,0,0,0,0,0
2020-02-07,Sarawak,0,0,0,0,0,0,0
2020-02-08,Sarawak,0,0,0,0,0,0,0
2020-02-09,Sarawak,0,0,0,0,0,0,0
2020-02-10,Sarawak,0,0,0,0,0,0,0
2020-02-11,Sarawak,0,0,0,0,0,0,0
2020-02-12,Sarawak,0,0,0,0,0,0,0
2020-02-13,Sarawak,0,0,0,0,0,0,0
2020-02-14,Sarawak,0,0,0,0,0,0,0
2020-02-15,Sarawak,0,0,0,0,0,0,0
2020-02-16,Sarawak,0,0,0,0,0,0,0
2020-02-17,Sarawak,0,0,0,0,0,0,0
2020-02-18,Sarawak,0,0,0,0,0,0,0
2020-02-19,Sarawak,0,0,0,0,0,0,0
2020-02-20,Sarawak,0,0,0,0,0,0,0
2020-02-21,Sarawak,0,0,0,0,0,0,0
2020-02-22,Sarawak,0,0,0,0,0,0,0
2020-02-23,Sarawak,0,0,0,0,0,0,0
2020-02-24,Sarawak,0,0,0,0,0,0,0
2020-02-25,Sarawak,0,0,0,0,0,0,0
2020-02-26,Sarawak,0,0,0,0,0,0,0
2020-02-27,Sarawak,0,0,0,0,0,0,0
2020-02-28,Sarawak,0,0,0,0,0,0,0
2020-02-29,Sarawak,0,0,0,0,0,0,0
2020-03-01,Sarawak,0,0,0,0,0,0,0
2020-03-02,Sarawak,0,0,0,0,0,0,0
2020-03-03,Sarawak,0,0,0,0,0,0,0
2020-03-04,Sarawak,0,0,0,0,0,0,0
2020-03-05,Sarawak,0,0,0,0,0,0,0
2020-03-06,Sarawak,0,0,0,0,0,0,0
2020-03-07,Sarawak,0,0,0,0,0,0,0
2020-03-08,Sarawak,0,0,0,0,0,0,0
2020-03-09,Sarawak,0,0,0,0,0,0,0
2020-03-10,Sarawak,0,0,0,0,0,0,0
2020-03-11,Sarawak,0,0,0,0,0,0,0
2020-03-12,Sarawak,0,0,0,0,0,0,0
2020-03-13,Sarawak,0,0,0,0,0,0,0
2020-03-14,Sarawak,6,0,6,0,0,5,1
2020-03-15,Sarawak,14,0,20,0,0,5,9
2020-03-16,Sarawak,0,0,20,0,0,0,0
2020-03-17,Sarawak,9,0,28,0,0,6,3
2020-03-18,Sarawak,20,0,48,0,2,12,6
2020-03-19,Sarawak,2,0,50,0,0,2,0
2020-03-20,Sarawak,7,0,57,0,0,5,2
2020-03-21,Sarawak,10,0,66,0,0,8,2
2020-03-22,Sarawak,8,0,73,0,0,7,1
2020-03-23,Sarawak,2,0,73,0,0,1,1
2020-03-24,Sarawak,5,0,78,0,0,4,1
2020-03-25,Sarawak,2,0,80,0,0,2,0
2020-03-26,Sarawak,10,0,90,0,1,7,2
2020-03-27,Sarawak,15,0,105,0,0,12,3
2020-03-28,Sarawak,8,2,111,0,0,3,5
2020-03-29,Sarawak,11,5,117,1,0,6,4
2020-03-30,Sarawak,6,1,120,1,0,5,0
2020-03-31,Sarawak,21,0,140,0,0,18,3
2020-04-01,Sarawak,32,0,171,3,2,21,6
2020-04-02,Sarawak,23,7,187,0,3,15,5
2020-04-03,Sarawak,28,0,214,1,2,16,9
2020-04-04,Sarawak,7,3,217,1,1,5,0
2020-04-05,Sarawak,15,0,231,1,1,11,2
2020-04-06,Sarawak,12,9,234,1,2,8,1
2020-04-07,Sarawak,15,7,242,0,2,9,4
2020-04-08,Sarawak,18,6,254,0,0,13,5
2020-04-09,Sarawak,6,9,250,0,0,5,1
2020-04-10,Sarawak,15,1,264,0,0,14,1
2020-04-11,Sarawak,7,5,266,2,0,5,0
2020-04-12,Sarawak,8,0,273,0,1,7,0
2020-04-13,Sarawak,6,1,278,0,0,6,0
2020-04-14,Sarawak,15,2,291,0,1,12,2
2020-04-15,Sarawak,8,0,299,1,1,6,0
2020-04-16,Sarawak,16,5,310,1,0,13,2
2020-04-17,Sarawak,10,0,320,0,1,7,2
2020-04-18,Sarawak,6,2,324,0,0,3,3
2020-04-19,Sarawak,5,10,319,0,0,5,0
2020-04-20,Sarawak,6,1,324,1,1,2,2
2020-04-21,Sarawak,22,3,342,1,5,16,0
2020-04-22,Sarawak,19,4,356,0,1,15,3
2020-04-23,Sarawak,4,28,332,0,0,4,0
2020-04-24,Sarawak,9,44,297,0,2,7,0
2020-04-25,Sarawak,10,0,307,1,1,5,3
2020-04-26,Sarawak,7,30,284,1,1,3,2
2020-04-27,Sarawak,3,16,271,1,0,1,1
2020-04-28,Sarawak,8,12,267,0,1,7,0
2020-04-29,Sarawak,6,0,273,0,0,6,0
2020-04-30,Sarawak,5,14,263,1,0,3,1
2020-05-01,Sarawak,2,0,265,1,0,1,0
2020-05-02,Sarawak,9,56,218,0,2,5,2
2020-05-03,Sarawak,5,11,212,1,0,4,0
2020-05-04,Sarawak,0,20,192,0,0,0,0
2020-05-05,Sarawak,2,9,185,0,0,2,0
2020-05-06,Sarawak,11,21,175,0,0,10,1
2020-05-07,Sarawak,1,2,174,0,0,0,1
2020-05-08,Sarawak,1,6,169,0,0,1,0
2020-05-09,Sarawak,4,12,161,0,0,4,0
2020-05-10,Sarawak,1,9,153,0,0,1,0
2020-05-11,Sarawak,0,9,144,0,0,0,0
2020-05-12,Sarawak,0,6,138,0,0,0,0
2020-05-13,Sarawak,1,15,124,0,0,1,0
2020-05-14,Sarawak,0,8,116,0,0,0,0
2020-05-15,Sarawak,0,6,110,0,0,0,0
2020-05-16,Sarawak,0,22,88,0,0,0,0
2020-05-17,Sarawak,0,4,84,0,0,0,0
2020-05-18,Sarawak,0,4,80,0,0,0,0
2020-05-19,Sarawak,0,1,79,0,0,0,0
2020-05-20,Sarawak,0,1,78,0,0,0,0
2020-05-21,Sarawak,0,16,62,0,0,0,0
2020-05-22,Sarawak,1,4,59,0,0,1,0
2020-05-23,Sarawak,0,4,55,0,0,0,0
2020-05-24,Sarawak,0,3,52,0,0,0,0
2020-05-25,Sarawak,4,2,54,0,0,2,2
2020-05-26,Sarawak,0,0,54,0,0,0,0
2020-05-27,Sarawak,3,1,56,0,0,3,0
2020-05-28,Sarawak,0,8,48,0,0,0,0
2020-05-29,Sarawak,0,12,36,0,0,0,0
2020-05-30,Sarawak,0,2,34,0,0,0,0
2020-05-31,Sarawak,0,8,26,0,0,0,0
2020-06-01,Sarawak,0,0,26,0,0,0,0
2020-06-02,Sarawak,0,1,25,0,0,0,0
2020-06-03,Sarawak,0,2,23,0,0,0,0
2020-06-04,Sarawak,0,4,19,0,0,0,0
2020-06-05,Sarawak,1,0,20,0,0,1,0
2020-06-06,Sarawak,2,1,21,1,0,1,0
2020-06-07,Sarawak,0,1,20,0,0,0,0
2020-06-08,Sarawak,0,0,20,0,0,0,0
2020-06-09,Sarawak,0,0,20,0,0,0,0
2020-06-10,Sarawak,1,1,20,0,0,1,0
2020-06-11,Sarawak,0,5,15,0,0,0,0
2020-06-12,Sarawak,0,0,15,0,0,0,0
2020-06-13,Sarawak,0,2,13,0,0,0,0
2020-06-14,Sarawak,1,0,14,0,0,1,0
2020-06-15,Sarawak,0,1,13,0,0,0,0
2020-06-16,Sarawak,3,0,16,0,1,2,0
2020-06-17,Sarawak,1,0,17,0,0,1,0
2020-06-18,Sarawak,4,7,14,0,0,3,1
2020-06-19,Sarawak,1,0,15,0,0,0,1
2020-06-20,Sarawak,0,1,14,0,0,0,0
2020-06-21,Sarawak,3,0,17,0,0,2,1
2020-06-22,Sarawak,0,0,17,0,0,0,0
2020-06-23,Sarawak,0,0,17,0,0,0,0
2020-06-24,Sarawak,1,0,18,0,0,1,0
2020-06-25,Sarawak,0,2,16,0,0,0,0
2020-06-26,Sarawak,0,0,16,0,0,0,0
2020-06-27,Sarawak,0,0,16,0,0,0,0
2020-06-28,Sarawak,1,0,17,0,0,1,0
2020-06-29,Sarawak,0,0,17,0,0,0,0
2020-06-30,Sarawak,0,1,16,0,0,0,0
2020-07-01,Sarawak,0,6,10,0,0,0,0
2020-07-02,Sarawak,0,0,10,0,0,0,0
2020-07-03,Sarawak,0,1,9,0,0,0,0
2020-07-04,Sarawak,0,0,9,0,0,0,0
2020-07-05,Sarawak,0,1,8,0,0,0,0
2020-07-06,Sarawak,1,3,6,0,0,1,0
