Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Selangor,0,0,0,0,0,0,0
2020-01-26,Selangor,0,0,0,0,0,0,0
2020-01-27,Selangor,0,0,0,0,0,0,0
2020-01-28,Selangor,0,0,0,0,0,0,0
2020-01-29,Selangor,0,0,0,0,0,0,0
2020-01-30,Selangor,0,0,0,0,0,0,0
2020-01-31,Selangor,0,0,0,0,0,0,0
2020-02-01,Selangor,0,0,0,0,0,0,0
2020-02-02,Selangor,0,0,0,0,0,0,0
2020-02-03,Selangor,0,0,0,0,0,0,0
2020-02-04,Selangor,1,0,1,0,0,1,0
2020-02-05,Selangor,0,0,1,0,0,0,0
2020-02-06,Selangor,0,0,1,0,0,0,0
2020-02-07,Selangor,0,0,1,0,0,0,0
2020-02-08,Selangor,0,0,1,0,0,0,0
2020-02-09,Selangor,1,0,2,0,0,0,1
2020-02-10,Selangor,1,0,3,0,0,1,0
2020-02-11,Selangor,0,0,3,0,0,0,0
2020-02-12,Selangor,0,0,3,0,0,0,0
2020-02-13,Selangor,0,0,3,0,0,0,0
2020-02-14,Selangor,0,0,3,0,0,0,0
2020-02-15,Selangor,2,0,5,0,0,1,1
2020-02-16,Selangor,0,0,5,0,0,0,0
2020-02-17,Selangor,0,1,4,0,0,0,0
2020-02-18,Selangor,0,0,4,0,0,0,0
2020-02-19,Selangor,0,3,1,0,0,0,0
2020-02-20,Selangor,0,0,1,0,0,0,0
2020-02-21,Selangor,0,0,1,0,0,0,0
2020-02-22,Selangor,0,0,1,0,0,0,0
2020-02-23,Selangor,0,0,1,0,0,0,0
2020-02-24,Selangor,0,0,1,0,0,0,0
2020-02-25,Selangor,0,0,1,0,0,0,0
2020-02-26,Selangor,0,0,1,0,0,0,0
2020-02-27,Selangor,1,1,1,0,0,1,0
2020-02-28,Selangor,1,0,2,0,0,1,0
2020-02-29,Selangor,0,0,2,0,0,0,0
2020-03-01,Selangor,4,0,6,0,0,4,0
2020-03-02,Selangor,0,0,6,0,0,0,0
2020-03-03,Selangor,6,0,12,0,0,6,0
2020-03-04,Selangor,7,0,19,0,0,5,2
2020-03-05,Selangor,4,0,23,1,0,2,1
2020-03-06,Selangor,21,0,44,0,1,17,3
2020-03-07,Selangor,8,0,52,1,0,5,2
2020-03-08,Selangor,6,1,57,1,0,5,0
2020-03-09,Selangor,11,1,67,1,0,7,3
2020-03-10,Selangor,10,0,77,0,0,9,1
2020-03-11,Selangor,9,1,85,0,1,5,3
2020-03-12,Selangor,3,4,84,0,0,1,2
2020-03-13,Selangor,1,0,85,0,0,1,0
2020-03-14,Selangor,6,3,88,0,0,4,2
2020-03-15,Selangor,18,4,102,0,1,13,4
2020-03-16,Selangor,24,0,126,0,0,13,11
2020-03-17,Selangor,19,7,138,1,0,16,2
2020-03-18,Selangor,15,5,148,0,0,8,7
2020-03-19,Selangor,42,12,178,4,1,32,5
2020-03-20,Selangor,38,8,208,1,4,28,5
2020-03-21,Selangor,27,14,221,1,0,19,7
2020-03-22,Selangor,16,13,224,0,0,9,7
2020-03-23,Selangor,46,14,256,1,0,38,7
2020-03-24,Selangor,27,17,265,2,2,20,3
2020-03-25,Selangor,53,6,312,1,2,37,13
2020-03-26,Selangor,77,5,384,0,8,61,6
2020-03-27,Selangor,36,24,395,0,0,29,7
2020-03-28,Selangor,34,17,411,1,0,25,8
2020-03-29,Selangor,33,34,408,1,3,25,4
2020-03-30,Selangor,59,34,432,4,3,49,3
2020-03-31,Selangor,32,23,440,0,2,22,8
2020-04-01,Selangor,22,46,415,0,3,15,4
2020-04-02,Selangor,70,35,450,2,2,52,14
2020-04-03,Selangor,63,36,477,4,2,52,5
2020-04-04,Selangor,29,16,490,1,1,24,3
2020-04-05,Selangor,50,0,540,5,5,36,4
2020-04-06,Selangor,27,107,460,2,1,20,4
2020-04-07,Selangor,50,42,468,8,3,36,3
2020-04-08,Selangor,58,19,507,6,9,36,7
2020-04-09,Selangor,39,0,546,1,0,34,4
2020-04-10,Selangor,31,88,487,2,1,19,9
2020-04-11,Selangor,35,29,493,4,0,27,4
2020-04-12,Selangor,53,28,518,5,4,38,6
2020-04-13,Selangor,13,43,488,0,0,13,0
2020-04-14,Selangor,52,30,509,0,1,45,6
2020-04-15,Selangor,18,36,490,0,0,11,7
2020-04-16,Selangor,13,26,476,1,0,8,4
2020-04-17,Selangor,10,46,440,2,1,5,2
2020-04-18,Selangor,2,28,414,0,0,2,0
2020-04-19,Selangor,10,35,389,2,0,6,2
2020-04-20,Selangor,2,18,372,0,0,1,1
2020-04-21,Selangor,11,12,371,0,2,9,0
2020-04-22,Selangor,1,20,352,0,0,1,0
2020-04-23,Selangor,12,13,351,0,2,9,1
2020-04-24,Selangor,18,19,349,1,1,16,0
2020-04-25,Selangor,1,13,335,0,0,1,0
2020-04-26,Selangor,6,25,316,0,1,3,2
2020-04-27,Selangor,4,7,313,0,0,4,0
2020-04-28,Selangor,5,17,300,1,0,4,0
2020-04-29,Selangor,1,16,285,0,0,1,0
2020-04-30,Selangor,27,21,291,2,1,22,2
2020-05-01,Selangor,24,0,315,0,2,22,0
2020-05-02,Selangor,63,9,369,1,1,60,1
2020-05-03,Selangor,11,6,374,0,0,10,1
2020-05-04,Selangor,21,8,387,0,0,20,0
2020-05-05,Selangor,4,20,369,0,0,2,2
2020-05-06,Selangor,9,15,363,0,2,5,2
2020-05-07,Selangor,16,11,368,0,1,14,1
2020-05-08,Selangor,6,11,363,0,0,5,1
2020-05-09,Selangor,10,16,357,0,0,5,1
2020-05-10,Selangor,8,51,313,0,3,4,0
2020-05-11,Selangor,3,24,292,0,0,1,2
2020-05-12,Selangor,3,29,266,0,0,3,0
2020-05-13,Selangor,2,8,260,0,0,1,1
2020-05-14,Selangor,1,11,250,0,0,1,0
2020-05-15,Selangor,14,12,252,0,0,12,2
2020-05-16,Selangor,1,3,250,0,0,1,0
