Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Terengganu,0,0,0,0,0,0,0
2020-01-26,Terengganu,0,0,0,0,0,0,0
2020-01-27,Terengganu,0,0,0,0,0,0,0
2020-01-28,Terengganu,0,0,0,0,0,0,0
2020-01-29,Terengganu,0,0,0,0,0,0,0
2020-01-30,Terengganu,0,0,0,0,0,0,0
2020-01-31,Terengganu,0,0,0,0,0,0,0
2020-02-01,Terengganu,0,0,0,0,0,0,0
2020-02-02,Terengganu,0,0,0,0,0,0,0
2020-02-03,Terengganu,0,0,0,0,0,0,0
2020-02-04,Terengganu,0,0,0,0,0,0,0
2020-02-05,Terengganu,0,0,0,0,0,0,0
2020-02-06,Terengganu,0,0,0,0,0,0,0
2020-02-07,Terengganu,0,0,0,0,0,0,0
2020-02-08,Terengganu,0,0,0,0,0,0,0
2020-02-09,Terengganu,0,0,0,0,0,0,0
2020-02-10,Terengganu,0,0,0,0,0,0,0
2020-02-11,Terengganu,0,0,0,0,0,0,0
2020-02-12,Terengganu,0,0,0,0,0,0,0
2020-02-13,Terengganu,0,0,0,0,0,0,0
2020-02-14,Terengganu,0,0,0,0,0,0,0
2020-02-15,Terengganu,0,0,0,0,0,0,0
2020-02-16,Terengganu,0,0,0,0,0,0,0
2020-02-17,Terengganu,0,0,0,0,0,0,0
2020-02-18,Terengganu,0,0,0,0,0,0,0
2020-02-19,Terengganu,0,0,0,0,0,0,0
2020-02-20,Terengganu,0,0,0,0,0,0,0
2020-02-21,Terengganu,0,0,0,0,0,0,0
2020-02-22,Terengganu,0,0,0,0,0,0,0
2020-02-23,Terengganu,0,0,0,0,0,0,0
2020-02-24,Terengganu,0,0,0,0,0,0,0
2020-02-25,Terengganu,0,0,0,0,0,0,0
2020-02-26,Terengganu,0,0,0,0,0,0,0
2020-02-27,Terengganu,0,0,0,0,0,0,0
2020-02-28,Terengganu,0,0,0,0,0,0,0
2020-02-29,Terengganu,0,0,0,0,0,0,0
2020-03-01,Terengganu,0,0,0,0,0,0,0
2020-03-02,Terengganu,0,0,0,0,0,0,0
2020-03-03,Terengganu,0,0,0,0,0,0,0
2020-03-04,Terengganu,0,0,0,0,0,0,0
2020-03-05,Terengganu,0,0,0,0,0,0,0
2020-03-06,Terengganu,0,0,0,0,0,0,0
2020-03-07,Terengganu,0,0,0,0,0,0,0
2020-03-08,Terengganu,0,0,0,0,0,0,0
2020-03-09,Terengganu,0,0,0,0,0,0,0
2020-03-10,Terengganu,0,0,0,0,0,0,0
2020-03-11,Terengganu,0,0,0,0,0,0,0
2020-03-12,Terengganu,0,0,0,0,0,0,0
2020-03-13,Terengganu,0,0,0,0,0,0,0
2020-03-14,Terengganu,0,0,0,0,0,0,0
2020-03-15,Terengganu,0,0,0,0,0,0,0
2020-03-16,Terengganu,4,0,4,0,0,4,0
2020-03-17,Terengganu,3,0,7,0,0,3,0
2020-03-18,Terengganu,3,0,10,0,0,3,0
2020-03-19,Terengganu,2,0,12,0,0,2,0
2020-03-20,Terengganu,8,0,20,0,0,8,0
2020-03-21,Terengganu,7,0,27,0,1,6,0
2020-03-22,Terengganu,5,0,32,0,0,5,0
2020-03-23,Terengganu,6,0,38,0,0,5,1
2020-03-24,Terengganu,0,0,38,0,0,0,0
2020-03-25,Terengganu,0,0,38,0,0,0,0
2020-03-26,Terengganu,1,0,39,0,0,1,0
2020-03-27,Terengganu,2,0,41,1,0,1,0
2020-03-28,Terengganu,4,0,45,0,0,4,0
2020-03-29,Terengganu,2,0,47,0,0,1,1
2020-03-30,Terengganu,0,0,47,0,0,0,0
2020-03-31,Terengganu,0,0,47,0,0,0,0
2020-04-01,Terengganu,1,0,48,0,0,1,0
2020-04-02,Terengganu,2,0,50,0,0,1,1
2020-04-03,Terengganu,18,0,68,1,2,13,2
2020-04-04,Terengganu,6,0,74,0,1,5,0
