Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-01-26,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-01-27,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-01-28,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-01-29,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-01-30,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-01-31,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-02-01,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-02-02,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-02-03,W.P. Kuala Lumpur,0,0,0,0,0,0,0
2020-02-04,W.P. Kuala Lumpur,1,0,1,0,0,0,1
2020-02-05,W.P. Kuala Lumpur,0,0,1,0,0,0,0
2020-02-06,W.P. Kuala Lumpur,1,0,2,0,0,1,0
2020-02-07,W.P. Kuala Lumpur,0,0,2,0,0,0,0
2020-02-08,W.P. Kuala Lumpur,1,0,3,0,0,0,1
2020-02-09,W.P. Kuala Lumpur,0,1,2,0,0,0,0
2020-02-10,W.P. Kuala Lumpur,0,0,2,0,0,0,0
2020-02-11,W.P. Kuala Lumpur,0,0,2,0,0,0,0
2020-02-12,W.P. Kuala Lumpur,0,0,2,0,0,0,0
2020-02-13,W.P. Kuala Lumpur,0,0,2,0,0,0,0
2020-02-14,W.P. Kuala Lumpur,1,0,3,0,0,1,0
2020-02-15,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-16,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-17,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-18,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-19,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-20,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-21,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-22,W.P. Kuala Lumpur,0,0,3,0,0,0,0
2020-02-23,W.P. Kuala Lumpur,0,0,3,0,0,0,0
