Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,W.P. Putrajaya,0,0,0,0,0,0,0
2020-01-26,W.P. Putrajaya,0,0,0,0,0,0,0
2020-01-27,W.P. Putrajaya,0,0,0,0,0,0,0
2020-01-28,W.P. Putrajaya,0,0,0,0,0,0,0
2020-01-29,W.P. Putrajaya,0,0,0,0,0,0,0
2020-01-30,W.P. Putrajaya,0,0,0,0,0,0,0
2020-01-31,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-01,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-02,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-03,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-04,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-05,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-06,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-07,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-08,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-09,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-10,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-11,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-12,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-13,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-14,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-15,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-16,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-17,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-18,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-19,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-20,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-21,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-22,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-23,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-24,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-25,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-26,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-27,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-28,W.P. Putrajaya,0,0,0,0,0,0,0
2020-02-29,W.P. Putrajaya,0,0,0,0,0,0,0
2020-03-01,W.P. Putrajaya,0,0,0,0,0,0,0
2020-03-02,W.P. Putrajaya,0,0,0,0,0,0,0
2020-03-03,W.P. Putrajaya,1,0,1,0,0,1,0
2020-03-04,W.P. Putrajaya,1,0,2,0,0,1,0
2020-03-05,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-06,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-07,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-08,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-09,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-10,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-11,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-12,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-13,W.P. Putrajaya,0,0,2,0,0,0,0
2020-03-14,W.P. Putrajaya,0,1,1,0,0,0,0
2020-03-15,W.P. Putrajaya,1,0,2,0,0,1,0
2020-03-16,W.P. Putrajaya,3,0,5,0,0,2,1
2020-03-17,W.P. Putrajaya,0,0,5,0,0,0,0
2020-03-18,W.P. Putrajaya,1,0,6,0,0,1,0
2020-03-19,W.P. Putrajaya,0,0,6,0,0,0,0
2020-03-20,W.P. Putrajaya,0,0,6,0,0,0,0
2020-03-21,W.P. Putrajaya,2,0,8,0,0,1,1
2020-03-22,W.P. Putrajaya,2,1,9,0,0,2,0
2020-03-23,W.P. Putrajaya,2,0,11,0,0,2,0
2020-03-24,W.P. Putrajaya,2,1,12,0,0,2,0
2020-03-25,W.P. Putrajaya,1,2,11,0,0,1,0
2020-03-26,W.P. Putrajaya,2,0,13,0,0,2,0
2020-03-27,W.P. Putrajaya,2,0,14,0,0,1,1
2020-03-28,W.P. Putrajaya,0,0,14,0,0,0,0
2020-03-29,W.P. Putrajaya,2,0,16,0,0,2,0
2020-03-30,W.P. Putrajaya,3,0,19,1,0,1,1
2020-03-31,W.P. Putrajaya,2,0,21,0,0,2,0
2020-04-01,W.P. Putrajaya,0,0,21,0,0,0,0
2020-04-02,W.P. Putrajaya,7,1,27,3,0,3,1
2020-04-03,W.P. Putrajaya,1,1,27,0,0,0,0
2020-04-04,W.P. Putrajaya,1,2,26,0,0,1,0
2020-04-05,W.P. Putrajaya,1,0,27,0,0,1,0
2020-04-06,W.P. Putrajaya,4,3,28,0,0,4,0
2020-04-07,W.P. Putrajaya,2,0,30,0,0,2,0
2020-04-08,W.P. Putrajaya,2,0,32,0,1,1,0
2020-04-09,W.P. Putrajaya,2,0,34,1,0,1,0
2020-04-10,W.P. Putrajaya,2,6,30,0,0,1,0
2020-04-11,W.P. Putrajaya,2,5,27,0,0,2,0
2020-04-12,W.P. Putrajaya,1,1,27,0,0,0,1
2020-04-13,W.P. Putrajaya,2,0,29,0,1,1,0
2020-04-14,W.P. Putrajaya,0,3,26,0,0,0,0
2020-04-15,W.P. Putrajaya,0,3,23,0,0,0,0
2020-04-16,W.P. Putrajaya,1,1,23,0,0,0,1
2020-04-17,W.P. Putrajaya,0,1,22,0,0,0,0
2020-04-18,W.P. Putrajaya,0,1,21,0,0,0,0
2020-04-19,W.P. Putrajaya,9,1,29,0,1,8,0
2020-04-20,W.P. Putrajaya,13,0,42,0,1,12,0
2020-04-21,W.P. Putrajaya,0,0,42,0,0,0,0
2020-04-22,W.P. Putrajaya,1,1,42,0,0,1,0
2020-04-23,W.P. Putrajaya,0,0,42,0,0,0,0
2020-04-24,W.P. Putrajaya,0,5,37,0,0,0,0
2020-04-25,W.P. Putrajaya,0,6,31,0,0,0,0
2020-04-26,W.P. Putrajaya,1,1,31,0,0,1,0
2020-04-27,W.P. Putrajaya,0,0,31,0,0,0,0
2020-04-28,W.P. Putrajaya,1,0,32,0,0,0,1
2020-04-29,W.P. Putrajaya,0,0,32,0,0,0,0
2020-04-30,W.P. Putrajaya,1,1,32,0,0,1,0
2020-05-01,W.P. Putrajaya,4,0,36,0,1,3,0
2020-05-02,W.P. Putrajaya,0,3,33,0,0,0,0
2020-05-03,W.P. Putrajaya,1,0,34,0,0,1,0
2020-05-04,W.P. Putrajaya,0,0,34,0,0,0,0
2020-05-05,W.P. Putrajaya,0,3,31,0,0,0,0
2020-05-06,W.P. Putrajaya,0,9,22,0,0,0,0
2020-05-07,W.P. Putrajaya,0,0,22,0,0,0,0
2020-05-08,W.P. Putrajaya,1,1,22,0,0,1,0
2020-05-09,W.P. Putrajaya,1,3,20,0,0,1,0
2020-05-10,W.P. Putrajaya,0,2,18,0,0,0,0
2020-05-11,W.P. Putrajaya,1,5,14,0,0,1,0
2020-05-12,W.P. Putrajaya,0,4,10,0,0,0,0
2020-05-13,W.P. Putrajaya,0,0,10,0,0,0,0
2020-05-14,W.P. Putrajaya,0,1,9,0,0,0,0
2020-05-15,W.P. Putrajaya,0,0,9,0,0,0,0
2020-05-16,W.P. Putrajaya,1,0,10,0,0,1,0
2020-05-17,W.P. Putrajaya,0,1,9,0,0,0,0
2020-05-18,W.P. Putrajaya,1,1,9,0,0,1,0
2020-05-19,W.P. Putrajaya,0,0,9,0,0,0,0
