state,total,percentage_living
Malaysia,32657400,100.0
Johor,3781000,11.577774103266028
Kedah,2185100,6.690979686074212
Kelantan,1906700,5.8384929602479065
Melaka,932700,2.856014257105587
Negeri Sembilan,1128800,3.45649071879574
Pahang,1678700,5.1403357278901565
Pulau Pinang,1773600,5.430928365393449
Perak,2510300,7.68677237012132
Perlis,254900,0.7805275374034675
Selangor,6538000,20.019964847170932
Terengganu,1259300,3.856093871526821
Sabah,3908500,11.968190976623982
Sarawak,2816500,8.624385284805282
W.P. Kuala Lumpur,1773700,5.431234574705885
W.P. Labuan,99600,0.3049844751878594
W.P. Putrajaya,110000,0.3368302436813709
