Date,state,cases_new,cases_recovered,cases_active,cases_child,cases_adolescent,cases_adult,cases_elderly
2020-01-25,Johor,4,0,4,0,0,1,0
2020-01-26,Johor,0,0,4,0,0,0,0
2020-01-27,Johor,0,0,4,0,0,0,0
2020-01-28,Johor,0,0,4,0,0,0,0
2020-01-29,Johor,2,0,6,0,0,2,0
2020-01-30,Johor,1,0,7,0,0,1,0
2020-01-31,Johor,0,0,7,0,0,0,0
2020-02-01,Johor,0,0,7,0,0,0,0
2020-02-02,Johor,0,0,7,0,0,0,0
2020-02-03,Johor,0,0,7,0,0,0,0
2020-02-04,Johor,0,0,7,0,0,0,0
2020-02-05,Johor,0,0,7,0,0,0,0
2020-02-06,Johor,0,0,7,0,0,0,0
2020-02-07,Johor,1,0,8,0,0,1,0
2020-02-08,Johor,0,1,7,0,0,0,0
2020-02-09,Johor,0,0,7,0,0,0,0
2020-02-10,Johor,0,0,7,0,0,0,0
2020-02-11,Johor,0,0,7,0,0,0,0
2020-02-12,Johor,0,0,7,0,0,0,0
2020-02-13,Johor,0,0,7,0,0,0,0
2020-02-14,Johor,0,4,3,0,0,0,0
2020-02-15,Johor,0,1,2,0,0,0,0
2020-02-16,Johor,0,0,2,0,0,0,0
2020-02-17,Johor,0,0,2,0,0,0,0
2020-02-18,Johor,0,2,0,0,0,0,0
2020-02-19,Johor,0,0,0,0,0,0,0
2020-02-20,Johor,0,0,0,0,0,0,0
2020-02-21,Johor,0,0,0,0,0,0,0
2020-02-22,Johor,0,0,0,0,0,0,0
2020-02-23,Johor,0,0,0,0,0,0,0
2020-02-24,Johor,0,0,0,0,0,0,0
2020-02-25,Johor,0,0,0,0,0,0,0
2020-02-26,Johor,0,0,0,0,0,0,0
2020-02-27,Johor,0,0,0,0,0,0,0
2020-02-28,Johor,0,0,0,0,0,0,0
2020-02-29,Johor,0,0,0,0,0,0,0
2020-03-01,Johor,0,0,0,0,0,0,0
2020-03-02,Johor,0,0,0,0,0,0,0
2020-03-03,Johor,0,0,0,0,0,0,0
2020-03-04,Johor,1,0,1,0,0,1,0
2020-03-05,Johor,0,0,1,0,0,0,0
2020-03-06,Johor,1,0,2,1,0,0,0
2020-03-07,Johor,2,0,4,0,0,2,0
2020-03-08,Johor,0,0,4,0,0,0,0
2020-03-09,Johor,0,0,4,0,0,0,0
2020-03-10,Johor,0,0,4,0,0,0,0
2020-03-11,Johor,3,0,7,1,0,1,1
2020-03-12,Johor,1,0,8,0,0,0,1
2020-03-13,Johor,4,0,12,0,0,4,0
2020-03-14,Johor,2,0,14,0,0,1,1
2020-03-15,Johor,23,0,37,2,1,17,3
2020-03-16,Johor,7,0,44,3,0,3,1
2020-03-17,Johor,25,0,68,0,1,23,1
2020-03-18,Johor,13,0,81,0,1,10,2
2020-03-19,Johor,13,0,94,1,2,6,4
2020-03-20,Johor,13,1,106,0,0,9,4
2020-03-21,Johor,16,0,122,0,0,13,3
2020-03-22,Johor,16,0,138,2,0,10,4
2020-03-23,Johor,14,0,149,0,1,9,4
2020-03-24,Johor,4,0,153,0,2,2,0
2020-03-25,Johor,34,0,185,0,2,25,7
2020-03-26,Johor,43,7,220,4,1,30,8
2020-03-27,Johor,20,2,238,0,1,17,2
2020-03-28,Johor,26,13,249,0,1,17,8
2020-03-29,Johor,24,1,270,0,0,18,6
2020-03-30,Johor,22,8,284,1,2,15,4
2020-03-31,Johor,16,4,295,0,0,11,5
2020-04-01,Johor,19,10,304,1,0,14,4
2020-04-02,Johor,27,31,299,2,0,19,6
2020-04-03,Johor,21,0,320,0,0,14,7
2020-04-04,Johor,6,0,326,0,1,3,2
2020-04-05,Johor,16,49,293,0,1,12,3
2020-04-06,Johor,30,23,300,7,0,11,12
2020-04-07,Johor,10,2,308,0,0,10,0
2020-04-08,Johor,18,13,313,0,2,8,7
2020-04-09,Johor,7,21,299,0,0,6,1
2020-04-10,Johor,19,2,316,0,0,12,7
2020-04-11,Johor,21,43,294,3,0,16,2
2020-04-12,Johor,14,40,268,2,0,8,4
2020-04-13,Johor,20,16,272,1,3,12,3
2020-04-14,Johor,8,34,244,1,0,7,0
2020-04-15,Johor,14,21,237,1,1,8,4
2020-04-16,Johor,13,0,250,2,5,4,2
2020-04-17,Johor,9,0,259,1,2,4,2
2020-04-18,Johor,16,0,275,4,1,10,1
2020-04-19,Johor,3,1,276,0,1,2,0
2020-04-20,Johor,2,1,277,0,0,2,0
2020-04-21,Johor,1,1,277,0,1,0,0
2020-04-22,Johor,3,0,280,0,0,2,1
2020-04-23,Johor,3,0,282,0,0,2,1
2020-04-24,Johor,4,0,286,0,1,3,0
2020-04-25,Johor,0,0,286,0,0,0,0
2020-04-26,Johor,4,1,289,0,0,3,1
2020-04-27,Johor,0,1,287,0,0,0,0
2020-04-28,Johor,1,1,287,0,0,1,0
2020-04-29,Johor,0,1,286,0,0,0,0
2020-04-30,Johor,3,8,281,0,0,2,1
2020-05-01,Johor,3,16,268,0,0,3,0
2020-05-02,Johor,1,11,258,0,0,1,0
2020-05-03,Johor,0,15,243,0,0,0,0
2020-05-04,Johor,0,9,234,0,0,0,0
2020-05-05,Johor,0,5,229,0,0,0,0
2020-05-06,Johor,0,0,229,0,0,0,0
2020-05-07,Johor,0,21,208,0,0,0,0
2020-05-08,Johor,0,13,195,0,0,0,0
